ID,name,govsystem,x,y,race,prod,activity,tag,civlevel,size,SC
110,Auridia,2,1,-4,0,0,22941,[PASTA],9,2,1
111,Bolo,2,1,-4,0,1,22773,[PASTA],9,2,1
112,Neutral-2Q-1,2,4,-1,2,2,21967,[],9,2,1
113,Corrin,2,-1,-4,1,1,3000,[],1,1,1
114,CHAOM,2,-1,-4,2,2,3000,[],1,2,1
115,Cecile,0,-4,-1,2,2,15121,[],1,2,1
116,Go-away,2,-30,-30,1,0,23261,[TAG],10,1,1
117,Timelines,2,-30,-30,0,2,23063,[TAG],10,1,1
118,OneYearGame,3,6,0,0,0,24166,[],11,1,1
119,Hoagith,2,2,3,2,1,22030,[],9,1,1
120,MustFlow,2,3,2,0,0,22156,[],9,2,1
121,TheRedRightHand,2,3,2,0,0,22139,[],9,1,1
122,Ankaraz,2,-2,3,2,0,22275,[],8,2,1
123,Analyse,2,-2,3,1,2,21857,[],9,1,1
124,Antartica,3,-2,3,0,2,27257,[],21,4,1
125,-Jo-,1,-3,2,2,1,15039,[],1,2,1
126,-Ma-,3,-3,2,0,0,15003,[],1,1,1
127,Reims,2,-3,2,1,1,19633,[],4,2,1
128,Malabartor,2,2,-3,1,2,21746,[PASTA],9,3,1
129,BitterTaste,1,3,-2,2,1,21881,[],9,1,1
130,Glam,3,3,-2,0,0,25416,[_TDT_],15,2,1
131,GiediPrime,1,-2,-3,1,0,15064,[],1,2,1
132,Warnoufpignouf,2,-3,-2,0,0,22792,[],8,3,1
133,Pantoufleleouf,2,-3,-2,2,1,22679,[],8,2,1
134,Wiggle,2,30,-4,2,1,23415,[],9,2,1
135,Rename,2,30,-4,0,0,24052,[],10,2,1
136,HereWeGo,3,30,-4,0,0,23943,[],10,2,1
137,Neutral-2J-U,1,26,1,2,1,14919,[],1,3,1
138,Cry4Packers,2,26,1,0,1,22968,[],9,3,1
139,Odin,3,26,1,0,2,22776,[],9,1,1
140,Soleil,3,25,-30,0,1,24002,[],10,4,1
141,Terre,2,25,-30,2,2,21816,[],7,1,1
142,Barbagia,2,25,-30,2,2,23104,[],9,1,1
143,VarkisGay,3,9,2,0,2,21782,[],9,1,1
144,KarrenMaar,3,29,29,0,2,23435,[],10,2,1
145,Vyper,2,29,29,1,0,20522,[],5,2,1
146,EatingConcrete,2,29,29,1,1,19811,[],5,1,1
147,Nathalie,2,-5,0,2,2,19552,[],4,3,1
148,Nadjat,3,-5,0,0,0,21521,[],6,1,1
149,Delphine,2,-5,0,2,2,20635,[],5,1,1
150,Macalania,2,5,0,2,1,22459,[],9,3,1
151,MaceWindu,2,5,0,1,0,22691,[],9,1,1
152,GoodDay,2,5,0,1,0,22874,[],9,3,1
153,TooL,3,0,5,0,2,14797,[],1,1,1
154,McAllister,0,0,5,2,1,20441,[GoD],8,1,1
155,Heart,2,0,-5,2,0,3480,[],2,4,1
156,Liver,3,0,-5,0,0,24638,[_TDT_],11,3,1
157,TethysMonAmour,3,25,0,0,2,23117,[],9,2,1
158,Patlabor,2,1,5,0,2,21801,[],9,3,1
159,GPT-3,2,1,5,1,1,21831,[],9,1,1
160,Skorn,2,5,1,2,0,22677,[],9,3,1
161,SuperPlanetXM,0,-1,5,2,1,19988,[],9,2,1
162,Lyon,2,-5,1,0,0,19815,[],4,1,1
163,Douai,2,-5,1,1,1,19753,[],4,3,1
164,Arras,2,-5,1,2,0,19844,[],4,1,1
165,Arteum,2,1,-5,1,1,22752,[PASTA],9,1,1
166,Daguefilante,2,1,-5,0,0,22969,[PASTA],9,2,1
167,Fendretour,2,1,-5,0,1,22753,[PASTA],9,2,1
168,Neutral-30-5,2,5,-1,1,0,22795,[],9,2,1
169,Neutral-K2Two,2,5,-1,0,0,23064,[],9,3,1
170,Stilgar,2,-1,-5,1,2,3000,[],1,2,1
171,Ceria,2,-1,-5,0,1,19379,[],4,2,1
172,Caladan,2,-1,-5,1,2,3000,[],1,2,1
173,elisabeth,2,-5,-1,2,1,19494,[],4,2,1
174,Paris,2,-5,-1,2,2,19624,[],4,1,1
175,Cliisson,0,-5,-1,2,2,16877,[],2,1,1
176,xania,3,25,25,0,0,29581,[],23,2,1
177,Yukho,2,5,-5,1,1,22825,[PASTA],9,2,1
178,Ravioli,2,5,-5,1,0,22992,[PASTA],9,2,1
179,Carbonara,3,5,-5,0,2,23145,[PASTA],9,2,1
180,16_Psyche,2,5,-30,1,2,23335,[],9,1,1
181,Gandalf,3,5,-30,0,2,21518,[],7,3,1
182,Sayonara,2,5,-30,0,2,23193,[],9,1,1
183,D3LTR0N3030,3,29,30,0,2,15003,[],1,2,1
184,Slander,2,29,30,0,2,3410,[],2,2,1
185,Maii,2,2,4,2,0,22268,[],9,2,1
186,Angel,2,2,4,1,1,22021,[],9,2,1
187,Relaxation,2,4,2,0,2,22717,[],9,1,1
188,Umbara,3,4,2,0,0,17526,[],2,1,1
189,Jamm,1,-2,4,0,2,21233,[---],8,1,1
190,Hattara,0,-2,4,0,0,19637,[],5,1,1
191,Kingdom,2,-4,2,0,2,18788,[],4,3,1
192,Kauai,2,-4,2,2,2,18879,[],4,3,1
193,Griffenoire,0,2,-4,1,1,22690,[PASTA],9,2,1
194,Coeurebene,2,2,-4,0,0,22995,[PASTA],9,1,1
195,BlindFaith,2,4,-2,2,2,22263,[],9,2,1
196,SpiffyLyfe,3,-2,-4,0,0,15003,[],1,1,1
197,Chapterhouse,2,-2,-4,2,0,15066,[],1,1,1
198,Arrakis,3,-2,-4,0,2,22873,[],8,3,1
199,Zxds,0,-4,-2,0,1,3000,[],1,1,1
200,Newt,0,-4,-2,0,2,3000,[],1,2,1
201,sgor,2,-4,-2,2,0,18974,[],4,2,1
202,Nuragic,3,30,-30,0,1,22931,[],9,3,1
203,Ndoosa,2,-21,-21,2,1,21128,[],6,2,1
204,Nation,3,-21,-21,0,1,23294,[],9,2,1
205,xxxx,2,-13,-27,2,1,22823,[],8,1,1
206,__4__,2,-13,-27,0,0,23315,[],9,1,1
207,-....-,2,-13,-27,0,2,23390,[],9,1,1
208,EgoSumQuiSum,2,6,2,0,2,22782,[],9,2,1
209,Belinea,3,7,-5,0,2,22970,[PASTA],9,1,1
210,Zoo_Central,2,29,31,1,2,23930,[],10,2,1
211,Kobra,3,29,31,0,2,20640,[],6,1,1
212,Valinar,2,29,31,0,2,19967,[],4,2,1
213,Anonymous,3,22,-4,0,2,23512,[],9,1,1
214,Comes,2,22,-4,2,1,22435,[],8,2,1
215,Major,2,3,4,2,1,22701,[],9,1,1
216,Gruyere,2,4,3,0,0,22827,[],9,1,1
217,Valno,3,4,3,0,2,28627,[],21,1,1
218,Hertta,2,-3,4,2,2,20836,[],5,2,1
219,Shay,3,-3,4,0,0,24033,[---],10,1,1
220,Noxx,2,-3,4,0,1,20891,[],5,2,1
221,CashCow,3,-4,3,0,2,23611,[],9,2,1
222,Genitals,0,-4,3,1,2,2889,[],1,2,1
223,Snot,2,-4,3,1,1,21725,[---],7,3,1
224,Carde,2,3,-4,0,1,22783,[PASTA],9,2,1
225,Pastabox,2,4,-3,2,2,22211,[PASTA],9,3,1
226,Tecnhcial,0,4,-3,0,2,22147,[PASTA],9,2,1
227,Agneau,2,4,-3,0,0,22544,[PASTA],9,2,1
228,SpiffyHyPe,2,-3,-4,2,2,20594,[],6,2,1
231,sketch,3,-4,-3,0,1,23539,[],10,2,1
232,Alpha_B,2,-30,15,1,1,23604,[],9,1,1
233,Alpha_A,3,-30,15,0,1,23327,[],9,4,1
234,Barilla,3,3,-9,0,1,23547,[PASTA],9,2,1
235,Ogrez,2,-13,-26,0,0,23034,[],8,2,1
236,CannonFodder,3,-13,-26,0,2,22637,[],8,2,1
237,Orcz,2,-13,-26,0,0,23593,[],9,2,1
238,Utopia,0,30,29,2,2,20420,[],5,1,1
239,Atlantis,3,30,29,0,2,26130,[],16,3,1
240,Florida,2,30,29,1,2,23433,[],10,2,1
241,Cumberland,2,20,20,2,0,23484,[],9,2,1
242,JingleBells,3,20,20,0,2,25924,[],15,1,1
243,Zaphod,2,20,20,0,0,21013,[],5,1,1
244,Eat_ze_Bugs,3,15,-15,0,2,23818,[],10,1,1
245,Redshift,2,-30,20,1,0,23389,[],9,2,1
246,Blueshift,3,-30,20,0,1,23438,[o.O],9,2,1
247,Creva,2,-6,0,2,0,3771,[],4,2,1
248,Protus,2,-6,0,2,0,3774,[],4,1,1
251,Deathstar,0,0,-6,2,0,3491,[],3,1,1
252,Fencetown,3,9,9,0,2,25792,[NAH],15,3,1
253,Panwok,3,15,26,0,0,24246,[],11,1,1
254,FenwayPark,3,15,15,0,0,22510,[],8,2,1
255,Kingery,3,1,6,0,1,22980,[],11,2,1
256,Neutral-19One,2,6,1,0,2,22904,[],9,2,1
257,Evening,2,6,1,2,1,23139,[],9,2,1
258,SuperPlanetXA,1,-1,6,2,0,13110,[TAG],7,3,1
259,Kathy,2,-6,1,1,2,19607,[],4,1,1
260,Segolene,2,-6,1,0,0,20587,[],5,1,1
261,Marisol,2,-6,1,0,2,20594,[],5,1,1
262,Blood,2,1,-6,0,0,22196,[PASTA],9,2,1
263,Pouf,2,6,-1,2,1,23130,[],9,1,1
264,Myley,3,6,-1,0,0,22160,[],7,2,1
265,Locus,2,-1,-6,1,2,3361,[],2,2,1
266,Monkey,2,-1,-6,1,2,16766,[],2,2,1
267,Visacan,2,-6,-1,0,2,19181,[],4,1,1
268,-HB-,3,7,-9,0,1,23567,[PASTA],10,1,1
269,-AS-,2,7,-9,1,2,23788,[PASTA],10,1,1
270,Pistal,3,13,26,0,1,22083,[],9,1,1
271,jul5579,2,-21,-20,2,1,22360,[],7,3,1
272,ThisIsSparta,2,-21,-20,1,1,20235,[],5,2,1
273,xxxPSGxxx,3,-21,-20,0,0,25034,[],12,2,1
275,Atriarch,3,8,9,0,0,20260,[],6,1,1
276,Val-11,1,2,6,2,0,21656,[],9,2,1
277,Megazone33,0,2,6,1,0,19407,[TAG],5,1,1
278,Pandore,1,2,6,1,0,21929,[],9,2,1
279,Robotaur,3,-2,6,0,0,23023,[],11,1,1
280,KornOwl,2,-6,2,0,1,20305,[],5,1,1
281,Prasin,2,2,-6,1,1,22014,[PASTA],9,3,1
282,Faillais,2,2,-6,0,2,22035,[PASTA],9,3,1
283,Taranis,0,6,-2,2,2,15849,[],1,1,1
284,glorydoll,3,6,-2,0,2,17418,[],2,4,1
285,Monarch,2,-2,-6,1,1,18160,[],3,3,1
286,Pulp-Fiction,2,-2,-6,1,1,17685,[],3,1,1
287,Darkest,2,-2,-6,2,0,17753,[],3,1,1
288,Javelin,2,-6,-2,1,2,3102,[],1,1,1
289,Lightningbill,2,-6,-2,0,0,19133,[],4,1,1
290,XM-6M-14,2,30,31,0,1,23287,[],9,2,1
291,Terra,3,30,31,0,1,23716,[],10,1,1
292,Nevarro,3,27,0,0,1,21753,[],9,2,1
293,Melgibson,3,-15,-15,0,2,20063,[],5,3,1
294,totoland,2,-15,-15,2,2,23456,[],9,1,1
295,Lachatte,2,-15,-15,2,1,23547,[],9,1,1
296,Ka-tet,2,15,28,0,0,23734,[],9,2,1
297,Tower,3,15,28,0,0,25593,[],13,2,1
298,Neutr,2,15,28,2,2,23564,[],9,1,1
299,pierkie,2,9,10,2,2,22160,[],9,2,1
300,ratjetoe,3,9,10,0,1,24707,[],13,1,1
301,Deeshan,2,3,-5,2,2,22871,[PASTA],9,2,1
302,Longsanglot,3,3,-5,0,0,22840,[PASTA],9,1,1
303,fresgame,3,11,11,0,0,28232,[red],20,2,1
304,Shinji,2,3,5,2,2,21825,[],9,2,1
305,Provolone,2,5,3,1,0,22851,[],9,1,1
306,Nawak,2,-3,5,1,0,21949,[---],8,1,1
307,Korian,3,-5,3,0,1,25351,[Cake],13,4,1
308,PestilenceOwl,2,-5,3,2,0,20293,[],5,2,1
309,TartarusOwl,2,-5,3,1,1,20188,[],5,3,1
310,Gniole,2,5,-3,2,2,22721,[PASTA],9,3,1
311,Selusa,2,-3,-5,0,1,20732,[],6,2,1
312,FeydRautha,2,-3,-5,1,0,20741,[],6,2,1
314,camelCase,2,-5,-3,2,2,20658,[],6,2,1
315,Java,2,-5,-3,2,1,20609,[],6,2,1
316,Llab,3,-30,13,0,2,23049,[],9,2,1
317,Trops,2,-30,13,0,2,23339,[],9,1,1
318,Sarpsborg,3,-27,15,0,2,24024,[],10,1,1
319,Bjoergvin,2,-27,15,1,0,21939,[],7,2,1
320,Othala,3,-30,8,0,2,25966,[],14,2,1
321,HouseAtreides,3,2,1,0,0,19237,[],9,1,1
322,jul5578,3,-21,-19,0,0,23188,[],9,2,1
323,Adam,2,4,4,0,0,22683,[],9,3,1
324,COng0Go,2,-4,4,1,0,21432,[],6,2,1
325,Korner,2,-4,4,1,0,21837,[Cake],7,2,1
326,Camping,2,-4,4,0,2,20603,[],5,1,1
327,Neutral-AA-1G,1,4,-4,0,1,15046,[],1,2,1
328,blip,2,-4,-4,0,0,20695,[],6,1,1
329,paralax,2,-4,-4,1,0,20577,[],6,1,1
330,Cornichon,2,-4,-4,1,1,20558,[],6,2,1
331,Freddy,3,-12,-27,0,1,22742,[],8,1,1
332,Ichan,2,-7,0,1,2,19200,[],4,1,1
333,Hiya,2,7,0,0,1,22572,[],9,2,1
335,Vodka,1,0,-7,2,1,18482,[],4,2,1
336,Arlington,2,0,-7,2,2,3476,[],3,1,1
337,Steinitz,2,1,7,2,1,21899,[],9,2,1
338,Itisme,2,7,1,2,2,22663,[],9,4,1
339,Hello,2,7,1,1,2,22353,[],9,3,1
340,Kramer,2,-1,7,1,2,14751,[],1,2,1
341,Gibson,2,-1,7,2,1,14747,[],1,1,1
342,SlaaneshOwl,2,-7,1,0,2,20152,[],5,4,1
343,LimboOwl,2,-7,1,1,1,19251,[],4,2,1
344,Pizza,2,1,-7,1,0,21940,[PASTA],9,1,1
345,Slayer,2,7,-1,2,2,23380,[],9,3,1
346,Neutral-1YK-1M,1,7,-1,0,1,6675,[],1,2,1
347,AX51F24FS,2,-1,-7,0,0,14733,[],1,1,1
348,Maxwell,0,-1,-7,1,2,3476,[],3,2,1
349,Jocelyn,3,-1,-7,0,0,21440,[Cake],8,1,1
350,Quasar,3,-7,-1,0,0,23138,[],9,3,1
351,YAESU,0,14,14,1,1,24387,[],10,2,1
352,Zer0,3,14,14,0,0,21464,[],6,2,1
353,Hyperius,0,14,14,1,2,23274,[],9,1,1
354,lirossOM,1,9,4,0,0,21802,[],9,4,1
355,Shermisleep,1,9,4,0,0,21803,[],9,1,1
356,Idefix,3,9,4,0,1,21741,[],9,2,1
358,Comte,2,9,11,1,1,22174,[],9,2,1
359,New-Spain,3,9,11,0,0,24354,[NAH],12,4,1
360,Diladong,3,17,26,0,0,24317,[],11,1,1
361,Arakis,3,2,7,0,0,16075,[],2,1,1
362,Zidane,2,2,7,2,2,21780,[],9,2,1
363,Potato,2,7,2,1,1,22700,[],9,3,1
364,SuperPlanetHM,0,-2,7,0,1,19464,[666],5,1,1
365,Monitor,3,-2,7,0,1,26797,[],20,1,1
366,BrimstoneOwl,0,-7,2,0,0,20302,[],5,1,1
367,NurgleOwl,2,-7,2,0,0,20341,[],5,3,1
368,AbyssOwl,0,-7,2,1,2,20313,[],5,2,1
369,Agros,2,2,-7,1,0,22228,[PASTA],9,2,1
370,Macaron,2,2,-7,0,1,22021,[PASTA],9,2,1
371,Arctic,2,7,-2,2,1,23076,[],9,3,1
372,Eternium,3,-2,-7,0,0,14746,[],1,2,1
373,Reaper,2,-2,-7,0,1,17777,[],3,3,1
374,Diplomat,1,-2,-7,1,2,17765,[],3,1,1
375,Loebus,2,-7,-2,1,2,3768,[],4,1,1
376,DarkReach,3,19,19,0,1,23190,[],9,4,1
377,ThirdRail,2,19,19,2,2,21040,[],6,2,1
378,Basement,2,19,19,0,0,20492,[],5,1,1
379,Thalos,3,-20,-21,0,0,23345,[],9,2,1
380,Station,2,-20,-21,0,0,22920,[],8,2,1
381,Bale,2,3,6,1,1,21779,[],9,3,1
382,Pawn,2,6,3,0,2,22926,[],9,2,1
383,DGisBad,2,6,3,0,2,22355,[],9,1,1
384,DonkeyKong,2,-3,6,2,0,16382,[],1,2,1
385,Dogs,2,-3,6,1,1,16369,[],1,4,1
386,FireOwl,2,-6,3,1,1,23546,[],9,2,1
387,HadesOwl,2,-6,3,0,2,23519,[],9,2,1
388,Boris,3,-6,3,0,2,23618,[o.O],9,1,1
389,Pompeum,2,3,-6,2,2,23053,[PASTA],9,1,1
390,Elyseum,3,3,-6,0,0,15003,[],1,1,1
391,neurone,2,6,-3,1,1,23350,[PASTA],9,2,1
392,Camarde,2,6,-3,0,1,23362,[PASTA],9,1,1
393,MIssion_1,2,-3,-6,0,0,20868,[],6,2,1
394,Ripund,2,-3,-6,0,2,20638,[],6,3,1
395,Nosfera,2,-6,-3,2,1,20992,[],6,4,1
396,Valurum,2,-6,-3,0,0,21081,[],6,1,1
397,Homeworld,3,31,29,0,0,23089,[],10,3,1
398,Kronos,2,31,29,0,1,23298,[],9,3,1
401,IEatU,3,2,-1,0,0,21914,[],9,1,1
402,Eckor,3,-27,18,0,1,23329,[],9,3,1
403,Ardent,3,19,20,0,1,21475,[],7,1,1
404,Konoha,3,2,5,0,0,21820,[],9,1,1
405,Ricotta,2,4,6,1,1,21920,[],9,2,1
406,Camembert,2,4,6,0,1,21925,[],9,2,1
407,Bitch,0,-4,6,1,2,3000,[],1,2,1
408,Boner,0,-4,6,1,0,3000,[],1,1,1
409,Krildor,3,-6,4,0,0,24471,[_TDT_],11,1,1
410,krildor3,2,-6,4,2,0,21307,[],6,1,1
411,Krildor2,2,-6,4,0,1,22880,[],8,4,1
412,Parmesan,2,4,-6,2,2,23367,[PASTA],9,2,1
413,aldente,0,4,-6,0,2,23185,[PASTA],9,3,1
414,Beka,3,6,-4,0,0,23229,[],9,1,1
415,ItsShowTime,2,6,-4,1,1,23339,[PASTA],9,1,1
416,Maxo-Buco,2,6,-4,1,1,23361,[PASTA],9,1,1
417,moutarde,2,-4,-6,2,1,20574,[],6,3,1
418,Python,2,-6,-4,2,0,21596,[],7,2,1
419,MortalSword,1,22,4,1,1,19909,[],5,3,1
420,Ascension,1,22,4,1,1,19906,[],5,2,1
421,MoonSpawn,3,22,4,0,2,23243,[],9,1,1
422,Ragnarok,3,24,24,0,0,23591,[],9,4,1
423,beuH,3,31,30,0,2,23151,[],9,1,1
424,Harrison,2,-30,21,1,2,21578,[],7,2,1
425,My-Linh,2,-30,21,0,2,21467,[],7,1,1
426,Kendall,3,-30,21,0,1,22843,[],9,3,1
427,Aldaria,3,29,-31,0,0,23924,[],9,3,1
428,-..-,3,-14,-28,0,2,27299,[],17,2,1
429,-...-,2,-14,-28,0,2,22824,[],8,3,1
430,-xx-,2,-14,-28,0,1,22944,[],8,2,1
431,Rook,2,5,5,0,2,22596,[],9,1,1
432,Harpy,3,5,5,0,2,22710,[],10,2,1
433,Kingston,2,-5,5,0,2,18477,[],3,3,1
434,Ruby,0,-5,-5,0,0,20589,[],6,2,1
435,my_planet,3,-5,-5,0,1,22900,[],9,3,1
436,Strana_Metschty,3,-31,14,0,0,20224,[],5,1,1
437,BoraBora,3,5,-9,0,2,23412,[PASTA],9,2,1
438,Solar,0,-8,0,1,2,15140,[],1,2,1
439,Nojero,2,-8,0,1,0,19106,[],4,1,1
440,Halvo,2,8,0,1,0,21655,[],9,2,1
441,Vanny,0,0,8,0,2,14728,[],1,2,1
443,Toxicity,3,0,-8,0,2,22287,[],10,1,1
446,Sovngarde,2,30,0,0,1,14720,[],1,2,1
447,Inquisitoria,3,-31,-31,0,2,23050,[TAG],10,1,1
448,Holy_Terra,2,-31,-31,2,1,23077,[TAG],10,2,1
449,Crayon,3,-22,-30,0,2,20068,[TAG],9,1,1
450,Eater,1,-22,-30,1,1,17230,[TAG],6,3,1
452,Sidladyboy,0,8,1,0,1,3321,[],1,2,1
453,ArlandLegend,0,8,1,2,1,11199,[],1,2,1
454,BizzaroKing,0,8,1,0,1,3336,[],1,2,1
455,Latham,3,-1,8,0,2,18839,[],4,2,1
456,Neutral-8Y-T,1,-8,1,1,0,15064,[],1,2,1
457,Buittoni,2,1,-8,0,2,21817,[PASTA],9,3,1
458,Hanover,2,8,-1,2,1,21534,[],9,1,1
459,Kattegat,2,8,-1,2,1,21552,[],9,2,1
460,Trident,2,-1,-8,2,2,3476,[],3,1,1
461,Omodamos,2,-8,-1,1,1,20445,[],5,2,1
462,Silvertail,2,-8,-1,2,2,19513,[],4,4,1
463,Lofall,2,-8,-1,0,0,19571,[],4,4,1
464,Falcon,3,-20,-30,0,0,23018,[TAG],9,3,1
465,Zerera,2,-23,-23,0,0,22011,[],7,2,1
466,Taiyou,3,-23,-23,0,2,26579,[],15,2,1
467,Gazonneuz,2,-23,-23,2,0,24444,[],10,2,1
468,Ramune,3,-24,-30,0,1,22662,[TAG],8,3,1
469,AAAAA,2,-26,-30,2,2,23486,[TAG],9,2,1
470,Alphabet,3,-26,-30,0,0,23326,[TAG],9,1,1
471,Popoloze,2,17,8,0,2,23001,[],9,4,1
472,Vinaclused,2,17,8,1,1,23066,[],9,2,1
473,Klendathu,3,17,8,0,0,27242,[],17,2,1
474,Skellige,3,5,2,0,2,22754,[],9,3,1
475,Nerv,2,2,8,0,2,21813,[],9,2,1
476,Varkisverygay,0,8,2,2,1,21839,[],9,2,1
477,Eddie,0,-2,8,1,1,2939,[],1,4,1
478,Excelsior,0,-2,8,1,0,2939,[],1,2,1
479,UnluckyOwl,2,-8,2,0,1,21580,[],6,3,1
480,MiseryOwl,2,-8,2,2,2,21630,[],6,1,1
481,Arrow,3,2,-8,0,0,15892,[],1,2,1
482,Mineral,2,2,-8,0,1,22009,[PASTA],9,2,1
483,VarkMegaGay,0,8,-2,2,2,21822,[],9,1,1
484,VarkLovesArland,0,8,-2,2,0,21900,[],9,4,1
